checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H2_15,G,True,4-3-3,0,1,170.9,6.0,6.0,0,0,0,0,0,59,1,1,0,0,0,0.0,0,0,0,0.0
H2_30,G,True,4-3-3,0,1,170.9,6.0,6.0,0,0,0,0,0,74,0,0,0,0,0,0.0,0,0,0,0.0
H1_15,D,True,4-3-3,1,2,572.05,6.717,7.42,0,0,0,0,0,14,11,0,0,0,0,0.0,2,1,1,0.5
H1_15,D,True,4-3-3,0,3,862.63,5.997,6.14,0,0,0,0,0,14,10,1,1,1,0,1.0,2,1,1,0.5
H1_15,G,False,5-4-1,0,0,0.0,0.0,0.0,0,0,0,0,0,14,0,0,0,0,0,0.0,0,0,0,0.0
H1_30,G,False,5-4-1,1,1,389.93,7.51,8.08,0,0,0,0,0,29,2,1,0,0,0,0.0,0,0,0,0.0
H1_45,G,False,5-4-1,2,2,879.89,7.355,8.28,0,0,0,0,0,44,3,3,0,0,0,0.0,0,0,0,0.0
H2_15,G,False,5-4-1,2,2,879.89,7.355,8.28,0,0,0,0,0,59,0,0,0,0,0,0.0,0,0,0,0.0
H1_15,D,False,5-4-1,1,0,467.32,8.56,8.56,0,0,0,0,0,14,2,2,0,0,0,0.0,4,2,2,0.5
H2_15,D,False,5-4-1,1,1,547.58,6.8,7.64,0,0,0,0,0,4,0,0,0,0,0,0.0,0,0,0,0.0
H1_15,D,False,5-4-1,0,3,637.91,5.923,6.59,0,0,0,0,0,14,4,0,0,0,0,0.0,1,1,0,1.0
H1_15,G,True,4-3-3,0,0,0.0,0.0,0.0,0,0,0,0,0,14,3,1,1,1,0,1.0,0,0,0,0.0
H1_30,G,True,4-3-3,0,3,22.18,6.76,7.42,0,0,0,0,0,29,5,2,0,0,0,0.0,0,0,0,0.0
H1_45,G,True,4-3-3,1,4,35.47,7.218,8.83,0,0,0,0,0,44,6,3,2,2,0,1.0,0,0,0,0.0
H2_15,G,True,4-3-3,1,5,41.67,7.245,8.83,0,0,0,0,0,59,9,3,0,0,0,0.0,0,0,0,0.0
H2_30,G,True,4-3-3,1,5,41.67,7.245,8.83,0,0,0,0,0,74,10,3,0,0,0,0.0,0,0,0,0.0
H1_15,D,True,4-3-3,2,5,48.39,6.856,8.17,0,0,0,0,0,14,5,0,3,2,1,0.6666666666666666,3,3,0,1.0
H1_30,D,True,4-3-3,2,10,116.25,6.664,8.17,0,0,0,0,0,29,7,1,5,4,1,0.8,4,4,0,1.0
H1_45,D,True,4-3-3,2,14,159.28,6.539,8.17,0,0,0,0,0,44,9,1,6,5,1,0.8333333333333334,7,5,2,0.7142857142857143
H2_15,D,True,4-3-3,2,16,178.88,6.497,8.17,0,0,0,0,0,59,14,1,7,6,1,0.8571428571428571,8,5,3,0.625
H2_30,D,True,4-3-3,2,22,247.55,6.43,8.17,0,0,0,0,0,74,15,1,8,7,1,0.875,10,5,5,0.5
H1_15,D,True,4-3-3,0,6,59.51,6.21,6.67,1,0,1,1,0,14,9,1,1,0,1,0.0,0,0,0,0.0
H1_30,D,True,4-3-3,1,12,129.48,6.449,7.28,1,0,1,1,0,29,18,3,6,4,2,0.6666666666666666,1,0,1,0.0
H1_45,D,True,4-3-3,1,19,207.7,6.354,7.28,1,0,1,1,0,44,24,3,7,5,2,0.7142857142857143,3,0,3,0.0
H2_15,D,True,4-3-3,1,21,248.99,6.371,7.28,2,0,2,2,0,59,30,4,8,6,2,0.75,5,2,3,0.4
H2_30,D,True,4-3-3,1,27,310.62,6.284,7.28,2,0,2,2,0,74,31,6,10,7,3,0.7,9,4,5,0.4444444444444444
H1_15,D,True,4-3-3,1,8,195.86,6.806,8.82,0,0,0,0,0,14,6,0,7,4,3,0.5714285714285714,3,2,1,0.6666666666666666
H1_30,D,True,4-3-3,4,15,364.49,6.872,8.82,0,0,0,0,0,29,14,1,13,5,8,0.38461538461538464,7,4,3,0.5714285714285714
H1_45,D,True,4-3-3,6,19,501.62,6.996,8.82,0,0,0,0,0,44,18,2,16,8,8,0.5,8,5,3,0.625
H2_15,D,True,4-3-3,9,24,589.06,7.039,8.82,0,0,0,0,0,59,23,5,0,0,0,0.0,10,6,4,0.6
H2_30,D,True,4-3-3,13,30,705.87,7.043,8.82,0,0,0,0,0,74,24,5,17,8,9,0.47058823529411764,15,9,6,0.6
H1_15,A,True,4-3-3,0,12,135.35,6.216,7.03,1,0,1,1,0,14,5,0,4,2,2,0.5,8,4,4,0.5
