iter	PRAUC:type=Classic;use_weights=false	Logloss	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
204	0.1023153557	0.5481209738	0.1392430352	0.5481209738	0.4650590194
205	0.1024782773	0.5477038091	0.1389183799	0.5477038091	0.4643400786
206	0.1025194495	0.5474388571	0.1387175886	0.5474388571	0.4638944357
207	0.1027498241	0.5470977945	0.1384397734	0.5470977945	0.4632790688
208	0.102142716	0.5467340815	0.138129665	0.5467340815	0.462593478
209	0.102142716	0.5463535438	0.1378005624	0.5463535438	0.4618671021
210	0.102142716	0.5459756173	0.1374733882	0.5459756173	0.4611444346
211	0.1030879726	0.5455978551	0.1371541476	0.5455978551	0.4604376372
212	0.1032179019	0.5451798559	0.1368355803	0.5451798559	0.4597275439
213	0.1031097415	0.5448581161	0.1365588217	0.5448581161	0.4591133517
214	0.1030352989	0.5444948109	0.1362721986	0.5444948109	0.4584747659
215	0.1030352989	0.5441287308	0.1359538501	0.5441287308	0.4577690437
216	0.1030352989	0.5437651607	0.1356373608	0.5437651607	0.4570669087
217	0.1030352989	0.543404083	0.1353227186	0.543404083	0.4563683401
218	0.1035687565	0.5430117639	0.135032349	0.5430117639	0.4557210512
219	0.1041686098	0.542626283	0.1347163888	0.542626283	0.4550163686
220	0.1043328209	0.5424250082	0.1345895637	0.5424250082	0.4547310975
221	0.1045224283	0.5420844142	0.134297766	0.5420844142	0.454081608
222	0.1050622942	0.5417976178	0.1340599016	0.5417976178	0.4535489184
223	0.1050622942	0.541448481	0.133754222	0.541448481	0.4528676042
224	0.1050622942	0.5411017357	0.1334503199	0.5411017357	0.4521897348
225	0.1046770216	0.5408298499	0.1332380853	0.5408298499	0.45171166
226	0.1046494201	0.540520059	0.1329789735	0.540520059	0.4511317703
227	0.1046494201	0.5401792576	0.1326795212	0.5401792576	0.4504625108
228	0.1045888977	0.539879183	0.1324188811	0.539879183	0.4498795332
229	0.1045719905	0.5395521999	0.1321292543	0.5395521999	0.4492309704
230	0.1042923366	0.5392992886	0.1319200348	0.5392992886	0.4487611332
231	0.1040152581	0.5390142234	0.13167875	0.5390142234	0.4482162468
232	0.1040152581	0.5386834785	0.13138681	0.5386834785	0.447561579
233	0.1042407994	0.5384310869	0.1311832482	0.5384310869	0.4471026992
234	0.1039845362	0.5381529095	0.1309331906	0.5381529095	0.4465405366
235	0.1040152729	0.5378284874	0.130680978	0.5378284874	0.4459682202
236	0.1038333524	0.537533559	0.130431666	0.537533559	0.4454065383
237	0.10423105	0.5371930821	0.1301865662	0.5371930821	0.4448488762
238	0.10423105	0.5368735638	0.1299030914	0.5368735638	0.4442106542
239	0.1039438179	0.5365841764	0.1296459615	0.5365841764	0.4436298875
240	0.1043130174	0.53628174	0.1294088712	0.53628174	0.443091162
241	0.1042376576	0.5359731066	0.1291332995	0.5359731066	0.4424692755
242	0.1045458521	0.5356398063	0.1288551664	0.5356398063	0.44183836
243	0.1047001505	0.5353843315	0.1286768787	0.5353843315	0.4414301575
244	0.1049326535	0.5350535051	0.1284149552	0.5350535051	0.4408324308
245	0.1045147207	0.5347396599	0.1281392662	0.5347396599	0.4402082194
246	0.1046044929	0.5343920107	0.1278511221	0.5343920107	0.4395539726
247	0.1050092951	0.5341213968	0.1276154379	0.5341213968	0.4390181637
248	0.1050092951	0.5338211769	0.1273465361	0.5338211769	0.4384084163
249	0.105010564	0.5335148471	0.1270842887	0.5335148471	0.4378105467
250	0.1048274057	0.533200864	0.1268266589	0.533200864	0.4372242026
251	0.1050817801	0.5328772533	0.1265556775	0.5328772533	0.4366058955
252	0.1050836949	0.5326210952	0.1263329241	0.5326210952	0.4360978015
253	0.1050685134	0.5323384171	0.1261108837	0.5323384171	0.4355867778
254	0.1046139913	0.532072526	0.1258681941	0.532072526	0.4350331626
