feature,missing_rate,corr_with_target,univariate_auc,mean_positive,mean_negative
cumul_under_pressure_forward_count,0.0,-0.06933860909456031,0.5837080891032946,1.1012658227848102,1.6342349616471539
cumul_pass_middle_count,0.0,-0.05610416501548879,0.5809894063357574,7.715189873417722,10.263221639079532
cumul_applied_pressure_top_share,0.0,-0.06700700422908484,0.5800631633815916,0.22474266136775445,0.30719573301487424
cumul_pass_top_share,0.0,0.09207200027412396,0.5800337791223561,0.3025586597209911,0.21298960539120748
cumul_under_pressure_top_share_per15,0.0,0.07936759746170004,0.5792697883822304,0.2318039779927067,0.12962396466122092
cumul_under_pressure_forward_share,0.0,-0.04925402749510183,0.5790679312970467,0.14489144510705113,0.19014905441653313
last15_applied_pressure_allowed_forward_count,0.0,0.08666444062105245,0.5777954651144964,0.8354430379746836,0.511102139685103
last15_pass_top_share,0.0,0.08599819876790324,0.5770557483276525,0.3159327626332466,0.21559682182260095
cumul_run_detail_count_per15,0.0,0.07051740941262395,0.5759583101240271,9.757088059619706,8.45151316692605
last15_pass_count,0.0,-0.048975280370025596,0.5758944312996019,6.044303797468355,7.135244247073072
cumul_distance_per15,0.0,0.00804347854093584,0.5752671412437462,489.23458934736146,452.43252684558877
last15_applied_pressure_induced_turnover_rate,0.0,0.05543668922718082,0.5745555311396493,0.4079384574637739,0.32647398279090656
last15_under_pressure_count,0.0,0.052729972088443225,0.5734031571470184,3.392405063291139,2.8219620508679855
cumul_hsr_per15,0.0,0.0657936794246873,0.5730275496593982,7.834270370979234,6.859001181971567
last15_under_pressure_top_count,0.0,0.06843624847871504,0.5718700653608131,1.3354430379746836,0.9079531691562374
cumul_under_pressure_top_count_per15,0.0,0.08893732145097516,0.5715826106508997,1.4273521836812975,0.9461260091825692
last15_distance,0.0,-0.00018781359593724183,0.5714637960374689,451.9565189873418,452.83578522406145
last15_under_pressure_turnover_rate,0.0,0.05565737495504494,0.5712427753049576,0.3947093869562223,0.31457579074478076
last15_pass_accurate_count,0.0,-0.041472907193115964,0.5698655478503498,5.1455696202531644,5.954784012918854
last15_run_detail_hsr_distance,0.0,0.00733078191914968,0.5694286166912813,357.0658102486851,332.0127081160912
last15_run_detail_top_sprint_count,0.0,0.049587379778528416,0.5690325679798449,0.6455696202531646,0.47476786435203877
cumul_run_detail_top_sprint_count_per15,0.0,0.06773748375642293,0.5677371054205016,0.7317277659049811,0.5124874489629305
cumul_under_pressure_accuracy,0.0,-0.043967454191819536,0.5675058640760823,0.48133747523617315,0.5355073371998931
cumul_run_detail_hsr_distance_per15,0.0,0.01166841514867795,0.5674713695108926,371.278299131997,332.6955518895695
last15_under_pressure_top_share,0.0,0.05779839671767531,0.5659919359372045,0.32173909072643253,0.24087518179072243
cumul_under_pressure_top_share,0.0,0.06625217136891466,0.5632809186285983,0.3172095261329365,0.2424759117212272
cumul_run_detail_sprint_distance_per15,0.0,-0.0011626603289751067,0.5626446855373232,117.95654295102462,119.73699498762477
last15_run_detail_mean_sprint_speed,0.0,0.05987523128314099,0.5620173954814675,6.451480861965041,5.545224171905339
last15_applied_pressure_allowed_forward_rate,0.0,0.03719465546274037,0.561577909169422,0.16882293163938733,0.13275884282093417
cumul_under_pressure_accurate_count,0.0,-0.04835670792954289,0.5604932467306818,4.082278481012659,5.014533710133225
cumul_under_pressure_forward_count_per15,0.0,-0.04069560758179743,0.5597714160146767,0.48572113540467965,0.6062648212656774
last15_pass_unique_receivers,0.0,-0.04856217232967347,0.5582817618290807,4.025316455696203,4.554299555914413
cumul_applied_pressure_unique_pressed_players,0.0,0.03834827080161893,0.5580288016843568,3.721518987341772,3.350827614049253
cumul_applied_pressure_top_count,0.0,-0.05782097672535491,0.557775841539633,1.9050632911392404,2.6729915220024223
last15_hsr,0.0,0.04787494039226491,0.5545563487886019,7.234177215189874,6.466289866774324
last15_run_detail_count,0.0,0.04575829880707132,0.5539162829678612,8.89873417721519,7.979814291481631
cumul_under_pressure_count_per15,0.0,0.05113803103938028,0.5533017686768907,3.6561112937695213,3.1713650875782893
cumul_under_pressure_forward_share_per15,0.0,-0.015215076336487323,0.5530794703678908,0.08214792919161594,0.09511724574509958
last15_run_detail_unique_possessions,0.0,0.06748385834694537,0.5519948079291507,1.860759493670886,1.6931772305207913
last15_peak_speed,0.0,0.06910522215725,0.5519334842577025,7.886075949367087,7.251134436818733
cumul_applied_pressure_induced_turnover_rate,0.0,0.04250898927704167,0.551496553098634,0.42473392827078604,0.37560039395161826
last15_run_detail_mean_distance,0.0,0.02395939163225651,0.5487983115549128,59.36572294210159,48.69615040101563
cumul_run_detail_mean_sprint_speed,0.0,0.038572971904271065,0.5483562700898903,7.205063752351728,6.760755033076337
last15_under_pressure_backward_count,0.0,0.032554538427705226,0.5474479132065637,0.9177215189873418,0.7642309245054502
cumul_applied_pressure_top_share_per15,0.0,-0.03253328275454216,0.5474146962178625,0.1153242419259266,0.1546233293916114
last15_run_detail_sprint_distance,0.0,-0.016089711996691472,0.5469202741168113,94.89067148044654,120.82319963377928
cumul_under_pressure_unique_pressers,0.0,0.03928345389703305,0.5453590756478591,3.7278481012658227,3.3835284618490107
cumul_under_pressure_mean_abs_angle,0.0,-0.037503883852760794,0.545199378586796,33.23565083843085,36.56696558753002
cumul_applied_pressure_induced_turnover_count,0.0,0.025271689653058888,0.5443600108338487,3.5632911392405062,3.245458215583367
cumul_applied_pressure_count,0.0,0.0143466776719868,0.5440150651819524,8.677215189873417,8.230924505450142
cumul_pass_middle_count_per15,0.0,-0.027431946542836896,0.5435972976702115,3.3228313880212617,3.7004080933292527
last15_sprints,0.0,0.025054122330427694,0.5424998594665863,1.6645569620253164,1.5135244247073072
