fixture_id,date,id,player_appearance_id,period,minute,stage,possession,run_type,min_speed,max_speed,distance,implied_secs_at_max,flag_speed_gt_10_3,flag_implied_duration_gt_30s,flag_known_bad_fixture,flag_reason
1161.0,2025-06-11,1323744,65577,half_1,1,middle,3753,sprint,7.01,8.44,732.6716,86.80943127962085,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323745,65577,half_1,2,middle,3753,hsr,5.46,6.83,286.18320000000006,41.90090775988288,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323746,65577,half_1,10,bottom,3753,hsr,5.45,6.72,328.426,48.87291666666667,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323747,65577,half_1,13,middle,3752,hsr,5.4,6.01,229.532,38.19168053244593,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323749,65577,half_1,17,top,3753,hsr,5.42,5.63,221.2776,39.30330373001777,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323750,65577,half_1,17,bottom,3753,hsr,5.42,6.93,237.6408,34.29160173160174,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323751,65577,half_1,17,bottom,3753,hsr,5.47,6.91,349.9688,50.64671490593343,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323752,65577,half_1,20,middle,3753,hsr,5.42,5.86,386.3676,65.9330375426621,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323753,65577,half_1,22,bottom,3753,hsr,5.43,5.66,261.334,46.17208480565371,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323754,65577,half_1,23,bottom,3753,hsr,5.45,5.73,172.9692,30.18659685863874,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323755,65577,half_1,24,middle,3753,hsr,5.48,5.86,209.658,35.777815699658696,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323757,65577,half_1,25,bottom,3753,hsr,5.35,6.18,337.57,54.62297734627832,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323758,65577,half_1,27,middle,3752,hsr,5.41,5.85,231.8852,39.63849572649573,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323760,65577,half_1,28,bottom,3752,hsr,5.44,6.65,514.5640000000001,77.37804511278196,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323761,65577,half_1,28,middle,3753,hsr,5.46,5.82,185.7624,31.9179381443299,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323764,65577,half_1,34,bottom,3753,hsr,5.42,6.5,516.1172,79.40264615384616,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323762,65577,half_1,35,middle,3753,sprint,6.94,8.13,658.7996,81.03316113161131,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323766,65577,half_1,36,middle,3753,hsr,5.52,6.27,218.1892,34.79891547049442,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323767,65577,half_1,40,middle,3753,hsr,5.43,6.3,645.6644,102.4864126984127,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323768,65577,half_2,5,middle,3753,hsr,5.46,7.03,409.7004,58.27886201991465,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323769,65577,half_2,7,top,3753,hsr,5.41,5.7,222.7228,39.07417543859649,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323770,65577,half_2,12,top,3752,sprint,6.97,8.31,512.5008,61.6727797833935,False,True,True,implied_duration_gt_30s; known_bad_fixture
